제목,링크
"[단독] 한국거래소, 설립 70년 만에 첫 M&A…AI 스타트업 품는다",https://www.hankyung.com/article/2026011497496
한국거래소가 설립 70년 만에 처음으로 기업 인수를 결정하고 인공지능(AI) 스타트업을 낙점했다. AI 기반 시스템을 도입해 불공정·이상거래 탐지 등 시장 건전성을 확보하고 중장기적으로는 가상자산·토큰증권(STO) 등과의 결합으로 신사업 발굴에도 활용한다는 계획이다. 14일 한경닷컴 취재에 따르면...,https://www.hankyung.com/article/2026011497496
"한국거래소 ""AI 혁신 추진…스타트업 인수 검토""",https://www.newsis.com/view/NISX20260114_0003477313
"거래소, 24시간 거래 대비 AI혁신 추진…""스타트업 인수도 검토""",https://www.yna.co.kr/view/AKR20260114154800008?input=1195m
"한국거래소 ""AI 역량 강화 위해 스타트업 인수 등 검토""",https://www.news1.kr/finance/general-stock/6039430
"""데이터로 연결·AI로 실현""…중기중앙회, 2030 전략 추진",https://www.newsis.com/view/NISX20260114_0003476333
"이번 전략은 정부의 AI 대전환 정책에 발맞춰 협동조합과 중소기업의 디지털 전환을 체계적으로 지원하는 중장기 계획이다. 중기중앙회는 ‘DATA로 연결하고 AI로 실현하는 2030 KBIZ’를 비전으로 제시하고, 데이터와 인공지능을 적극 활용해 대전환 시대를 선도하겠다는 구상이다. ‘2030’은 5개년(2026...",https://www.newsis.com/view/NISX20260114_0003476333
"중기중앙회, 디지털전략 수립…""데이터로 연결하고 AI로 실현""",https://www.yna.co.kr/view/AKR20260114032900030?input=1195m
"중기중앙회, ‘디지털전략’ 수립…AI 전환 지원",https://biz.chosun.com/industry/business-venture/2026/01/14/VH4VMMR2RBHR5HAUO5BQYRT2MA/?utm_source=naver&utm_medium=original&utm_campaign=biz
"""데이터로 연결하고 AI로 실현""…중기중앙회, 디지털전략 추진",https://www.news1.kr/industry/sb-founded/6038237
"[AI픽] SKT, 차량용 AI 에이전트 '에이닷 오토' 공개",https://www.yna.co.kr/view/AKR20260114042400017?input=1195m
한국어 특화 LLM 탑재해 운전 중 음성 제어 지원 SK텔레콤은 르노코리아의 신차 '필랑트'에 차세대 차량용 인공지능(AI) 에이전트 '에이닷 오토'를 적용했다고 14일 밝혔다. 에이닷 오토는 단순 음성 명령 수행을 넘어 운전자의 운행 패턴과 주행 상황을 종합적으로 인식하는 차량용 에이전트다. 차량...,https://www.yna.co.kr/view/AKR20260114042400017?input=1195m
"""미세먼지가 많은데 창문 닫을까요?""…르노 신차 필랑트에 SKT AI비서 달...",https://www.newsis.com/view/NISX20260114_0003476234
SK텔레콤이 르노코리아의 신형 차량 필랑트(Filante)에 차세대 차량용 인공지능(AI) 에이전트인 '에이닷 오토'를 적용했다고 14일 밝혔다. 에이닷 오토는 단순 명령 수행을 넘어 운전자의 운행 패턴과 주행 상황을 종합적으로 인지하는 지능형 에이전트로 한 단계 진화했다는 게 회사 설명이다. 차량의...,https://www.newsis.com/view/NISX20260114_0003476234
"韓·日 경제계 공동 성명 발표...""AI 산업 협력해야""",http://www.fnnews.com/news/202601141358405095
한국무역협회 한일교류특별위원회는 14일 일본경제동우회와 '인공지능(AI) 시대 한일 산업협력 공동성명'을 발표했다. 이번 성명은 2024년 5월부터 서울과 오사카를 오가며 4차례에 걸쳐 진행된 '한일경제라운드테이블' 논의 결과를 종합해 도출됐다. 양국 경제계는 공동성명에서 △인공지능() 기반 자율적 산업...,http://www.fnnews.com/news/202601141358405095
"한·일 경제계 ""AI 인프라 협력해야"" 양국 정부에 공동 제안",https://www.yna.co.kr/view/AKR20260114083600003?input=1195m
"무협, 일본경제동우회와 AI시대 한일 산업협력 공동성명",https://www.newsis.com/view/NISX20260113_0003475498
"""AI·국방·인프라에 돈 몰린다""…주요국 확장재정 기조 재가동",https://www.newsis.com/view/NISX20260114_0003476817
"미국, 일본, 독일, 중국 등 주요국이 팬데믹 대응으로 급증했던 보건지출을 정상화하는 대신 인공지능(AI)·첨단산업, 사회인프라, 국방 분야를... 미국은 대규모 감세로 기업 경쟁력을 강화하는 한편, 지출 구조를 AI·양자기술·우주·첨단제조 등 전략기술 중심으로 재편하고, DEI(다양·형평·포용)...",https://www.newsis.com/view/NISX20260114_0003476817
"젠슨 황 '주문 폭발' 예상했는데…""中, AI 칩 수입 통제""",https://www.hankyung.com/article/202601149010g
중국이 엔비디아의 인공지능(AI) 가속기 H200 구매를 제한적으로만 승인하는 방침을 정했다는 보도가 나왔다. 대학 연구개발(R&D)랩 등 특별한 경우에만... 중국은 H200을 구매하는 기업들을 대상으로 자국 AI 칩을 일정 비율만큼 함께 사들이도록 요구하는 방안을 검토했던 것으로 알려졌다. 하지만 이보다 더...,https://www.hankyung.com/article/202601149010g
"""AI칩 수출 사실상 통제""…엔비디아, 中 진출 전략 흔들리나",https://www.newsis.com/view/NISX20260114_0003476359
"방미통위, '딥페이크 양산 논란' AI 그록에 청소년 보호 요청",https://news.sbs.co.kr/news/endPage.do?news_id=N1008404384&plink=ORI&cooper=NAVER
▲ xAI 방송미디어통신위원회가 인공지능(AI) 챗봇 서비스 '그록'이 딥페이크 성 착취물을 양산하고 있다는 논란에 대해 엑스(X) 측에 청소년 보호 장치를... 일론 머스크가 운영하는 AI 기업 xAI는 최근 엑스에서 그록을 사용해 딥페이크 이미지를 생성하는 서비스를 내놨습니다. 엑스에 올려진 특정인의 이미지를...,https://news.sbs.co.kr/news/endPage.do?news_id=N1008404384&plink=ORI&cooper=NAVER
"방미통위, 딥페이크 양산 논란 AI 그록에 청소년 보호 요청",https://www.yna.co.kr/view/AKR20260114123900017?input=1195m
"방미통위, 엑스 AI '그록'에 청소년 보호 장치 요청",https://www.hankyung.com/article/202601140551g
"방미통위, 딥페이크 성 착취물 양산 논란 AI ‘그록’에 청소년 보호 요...",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8458842&ref=A
"롯데에너지머티 ""새해, AI 회로박 본격 공급 원년""",https://zdnet.co.kr/view/?no=20260114092900
"국내 유일 회로박 생산기지인 익산 공장은 인공지능(AI)용 고부가 회로박 수요 급증으로, 속도와 실행력을 갖춰 글로벌 밸류체인에 조속히 안착한다는... 라인 전환 이후 국내외 고객사들로부터 제품 승인이 완료되면 AI용 고부가 회로박 판매량은 본격적으로 늘어나는 원년이 될 것이라고 전망했다. 2일차는...",https://zdnet.co.kr/view/?no=20260114092900
"롯데에너지머티리얼즈, 회로박에 올인…""AI 밸류체인 안착""",https://www.hankyung.com/article/202601140218i
"한화비전, 중동서 ‘극한환경 특화’ AI 카메라 공개",https://www.mk.co.kr/article/11932745
한화비전은 지난 12일(현지시간)부터 사흘간 아랍에미리트(UAE) 두바이에서 열린 중동 최대 보안 전시회 ‘인터섹 2026’에서 극한 환경에서도 최고 성능을 내는 인공지능(AI) 보안 솔루션을 세계 최초로 공개했다고 14일 밝혔다. 이 솔루션은 ‘ 러기다이즈드 PTZ(팬·틸트·줌) 카메라’로 최저 영하 50도...,https://www.mk.co.kr/article/11932745
"한화비전, 중동서 'AI 보안 솔루션' 세계 최초 공개",https://www.newsis.com/view/NISX20260114_0003476075
"한화비전, 중동 최대 보안전시서 극한환경 특화 AI 카메라 공개",https://www.yna.co.kr/view/AKR20260114036400003?input=1195m
"한화비전, 중동서 극한 환경 견디는 AI 카메라 최초 공개",https://www.khan.co.kr/article/202601141016001
"한화비전, 극한 환경 견디는 AI 카메라 첫 공개",https://biz.heraldcorp.com/article/10655007?ref=naver
